loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy
0.3026,0.377,0.0001904,0.3036,2.227e+05,0.911,0.04829,,,,,,,
0.2833,0.4746,0.0001902,0.2874,2.274e+05,0.9135,0.04932,,,,,,,
,,,,,,0.04932,0.2964,120.8,35.81,4.479,0.299,2.274e+05,0.9115
0.291,0.3789,0.00019,0.269,2.321e+05,0.9166,0.05034,,,,,,,
0.3558,0.5742,0.0001897,0.3408,2.371e+05,0.8969,0.05137,,,,,,,
,,,,,,0.05137,0.2974,120.2,35.99,4.5,0.2992,2.371e+05,0.9114
0.3294,0.6172,0.0001895,0.2895,2.42e+05,0.9108,0.0524,,,,,,,
0.3197,0.4277,0.0001893,0.3006,2.47e+05,0.9101,0.05343,,,,,,,
,,,,,,0.05343,0.2975,116.9,37.01,4.628,0.2928,2.47e+05,0.9113
0.2648,0.3496,0.0001891,0.2724,2.516e+05,0.9189,0.05445,,,,,,,
0.265,0.2891,0.0001889,0.251,2.563e+05,0.9231,0.05548,,,,,,,
,,,,,,0.05548,0.2953,117.8,36.72,4.592,0.2753,2.563e+05,0.9109
0.3128,0.4551,0.0001887,0.2833,2.611e+05,0.9104,0.05651,,,,,,,
0.3571,0.5625,0.0001885,0.3268,2.661e+05,0.9031,0.05754,,,,,,,
,,,,,,0.05754,0.2953,125.2,34.54,4.32,0.3034,2.661e+05,0.9121
0.3314,0.4785,0.0001883,0.3171,2.71e+05,0.9071,0.05856,,,,,,,
0.287,0.4023,0.0001881,0.262,2.758e+05,0.9194,0.05959,,,,,,,
,,,,,,0.05959,0.2959,122,35.45,4.434,0.3044,2.758e+05,0.9114
0.2829,0.3613,0.0001879,0.2795,2.805e+05,0.9191,0.06062,,,,,,,
0.2892,0.4043,0.0001877,0.2796,2.852e+05,0.9156,0.06165,,,,,,,
,,,,,,0.06165,0.2942,131.8,32.83,4.106,0.2982,2.852e+05,0.9109
0.2712,0.4766,0.0001875,0.2691,2.898e+05,0.9219,0.06267,,,,,,,
0.2986,0.3906,0.0001873,0.2825,2.946e+05,0.9136,0.0637,,,,,,,
,,,,,,0.0637,0.2964,123.9,34.92,4.367,0.2921,2.946e+05,0.9071
0.3249,0.5391,0.0001871,0.3036,2.994e+05,0.9078,0.06473,,,,,,,
0.2748,0.4199,0.0001869,0.2772,3.04e+05,0.9188,0.06576,,,,,,,
,,,,,,0.06576,0.2946,128.2,33.76,4.221,0.3006,3.04e+05,0.9118
0.2883,0.5547,0.0001867,0.282,3.087e+05,0.9121,0.06678,,,,,,,
0.272,0.4297,0.0001865,0.258,3.133e+05,0.9181,0.06781,,,,,,,
,,,,,,0.06781,0.2917,125.2,34.56,4.322,0.2931,3.133e+05,0.9112
0.2546,0.3105,0.0001863,0.254,3.178e+05,0.925,0.06884,,,,,,,
0.2556,0.373,0.000186,0.261,3.227e+05,0.9239,0.06987,,,,,,,
,,,,,,0.06987,0.2948,123.2,35.11,4.39,0.2793,3.227e+05,0.9123
0.2739,0.4551,0.0001858,0.2527,3.274e+05,0.9218,0.07089,,,,,,,
0.3042,0.3965,0.0001856,0.2821,3.321e+05,0.9147,0.07192,,,,,,,
,,,,,,0.07192,0.293,118.5,36.5,4.565,0.2979,3.321e+05,0.9125
0.3849,0.3789,0.0001854,0.3611,3.374e+05,0.8997,0.07295,,,,,,,
0.3171,0.75,0.0001852,0.2901,3.424e+05,0.9114,0.07398,,,,,,,
,,,,,,0.07398,0.2902,117.6,36.79,4.601,0.2819,3.424e+05,0.9131
0.2862,0.4004,0.000185,0.27,3.471e+05,0.9184,0.075,,,,,,,
0.2522,0.4434,0.0001848,0.2481,3.517e+05,0.9239,0.07603,,,,,,,
,,,,,,0.07603,0.2931,117,36.97,4.623,0.2894,3.517e+05,0.9128
0.313,0.6602,0.0001846,0.2942,3.565e+05,0.911,0.07706,,,,,,,
0.2469,0.375,0.0001844,0.2366,3.611e+05,0.9255,0.07808,,,,,,,
,,,,,,0.07808,0.2928,117,36.98,4.624,0.2994,3.611e+05,0.9114
0.3213,0.4941,0.0001842,0.3056,3.66e+05,0.9054,0.07911,,,,,,,
0.3084,0.5273,0.000184,0.3046,3.709e+05,0.9107,0.08014,,,,,,,
,,,,,,0.08014,0.2925,117,36.98,4.624,0.283,3.709e+05,0.9119
0.267,0.3203,0.0001838,0.2637,3.756e+05,0.9217,0.08117,,,,,,,
0.2781,0.6445,0.0001836,0.267,3.803e+05,0.9169,0.08219,,,,,,,
,,,,,,0.08219,0.2929,119.6,36.17,4.524,0.2853,3.803e+05,0.9123
0.3135,0.416,0.0001834,0.2847,3.851e+05,0.9124,0.08322,,,,,,,
0.2966,0.377,0.0001832,0.2687,3.899e+05,0.9173,0.08425,,,,,,,
,,,,,,0.08425,0.2919,122.2,35.39,4.426,0.2828,3.899e+05,0.9129
0.2709,0.4863,0.000183,0.2517,3.945e+05,0.9192,0.08528,,,,,,,
0.317,0.3887,0.0001828,0.3044,3.995e+05,0.9108,0.0863,,,,,,,
,,,,,,0.0863,0.2914,121.6,35.58,4.449,0.3023,3.995e+05,0.9125
0.3201,0.498,0.0001826,0.3104,4.042e+05,0.9102,0.08733,,,,,,,
0.2579,0.375,0.0001823,0.2561,4.088e+05,0.9244,0.08836,,,,,,,
,,,,,,0.08836,0.2923,117,36.97,4.623,0.2895,4.088e+05,0.9112
0.3402,0.4004,0.0001821,0.3099,4.138e+05,0.9031,0.08939,,,,,,,
0.2866,0.4121,0.0001819,0.2656,4.185e+05,0.9154,0.09041,,,,,,,
,,,,,,0.09041,0.2908,117.5,36.81,4.603,0.2994,4.185e+05,0.9128
0.2852,0.3379,0.0001817,0.2861,4.233e+05,0.9175,0.09144,,,,,,,
0.3224,0.5469,0.0001815,0.3028,4.28e+05,0.9091,0.09247,,,,,,,
,,,,,,0.09247,0.2877,117.5,36.83,4.606,0.2957,4.28e+05,0.9135
0.2638,0.3633,0.0001813,0.259,4.327e+05,0.9209,0.0935,,,,,,,
0.2458,0.4746,0.0001811,0.2325,4.372e+05,0.9269,0.09452,,,,,,,
,,,,,,0.09452,0.2909,117,36.97,4.624,0.2909,4.372e+05,0.9122
0.2999,0.332,0.0001809,0.2863,4.419e+05,0.9114,0.09555,,,,,,,
0.2841,0.4297,0.0001807,0.2713,4.466e+05,0.9141,0.09658,,,,,,,
,,,,,,0.09658,0.289,117.4,36.85,4.608,0.2907,4.466e+05,0.9131
0.2446,0.4746,0.0001805,0.2462,4.514e+05,0.9241,0.09761,,,,,,,
0.276,0.4395,0.0001803,0.2699,4.561e+05,0.9163,0.09863,,,,,,,
,,,,,,0.09863,0.2896,119,36.37,4.548,0.2788,4.561e+05,0.9127
0.3021,0.3066,0.0001801,0.2774,4.608e+05,0.9114,0.09966,,,,,,,
0.2706,0.5781,0.0001799,0.264,4.655e+05,0.9189,0.1007,,,,,,,
,,,,,,0.1007,0.2901,115.8,37.37,4.673,0.2975,4.655e+05,0.9125
0.2738,0.3438,0.0001797,0.2752,4.702e+05,0.9237,0.1017,,,,,,,
0.2622,0.3594,0.0001795,0.2485,4.75e+05,0.9219,0.1027,,,,,,,
,,,,,,0.1027,0.2877,102,42.42,5.305,0.2755,4.75e+05,0.9128
0.2901,0.4668,0.0001793,0.2785,4.799e+05,0.9149,0.1038,,,,,,,
0.3077,0.7266,0.0001791,0.3014,4.848e+05,0.9151,0.1048,,,,,,,
,,,,,,0.1048,0.2902,102.2,42.35,5.296,0.2787,4.848e+05,0.9129
0.2759,0.373,0.0001789,0.2546,4.894e+05,0.92,0.1058,,,,,,,
0.2819,0.3242,0.0001786,0.2618,4.943e+05,0.9221,0.1069,,,,,,,
,,,,,,0.1069,0.2881,102.4,42.26,5.285,0.2916,4.943e+05,0.9128
0.2936,0.5117,0.0001784,0.2782,4.99e+05,0.9127,0.1079,,,,,,,
0.3096,0.3301,0.0001782,0.3016,5.038e+05,0.9128,0.1089,,,,,,,
,,,,,,0.1089,0.2883,102.3,42.27,5.287,0.2881,5.038e+05,0.9127
